SMILES,logP,MW
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,1.98,224.29
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1,4.39,329.47
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,5.56,337.57
Cc1ccc([N+](=O)[O-])c2c1O[Hg]2,0.92,351.71
CCN(CC)C(=S)SSC(=S)N(CC)CC,3.62,296.55
CCCCCCOc1ccc(C(=N)N(CCCC)CCCC)c2ccccc12,7.03,382.59
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,5.27,495.64
O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1,2.36,405.44
CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,7.0,365.34
CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,2.81,301.39
O=C(CCl)c1ccc(Cl)cc1Cl,3.41,223.49
CCCCCCCCCCCCCC[N+](C)(C)C,5.39,256.5
CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,6.06,334.57
CCCCCCCCCCCCCCCC[n+]1ccccc1,6.46,304.54
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,4.46,372.54
Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,6.12,429.13
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,4.22,337.46
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,3.43,332.34
Cc1cc(C2CCCCC2)n(O)c(=O)c1,2.44,207.27
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,3.68,479.53
CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,5.02,309.48
O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,4.45,378.32
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,6.08,473.59
CN(C)C(=S)SC(=S)N(C)C,1.41,208.38
CN(C)C(=S)SSC(=S)N(C)C,2.06,240.44
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.89,318.87
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,5.35,458.58
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4C[C@H]3C[C@@H]12,0.12,414.41
CCOc1ccc2nc3cc(N)ccc3c(N)c2c1,2.95,253.3
CC1=CC(=O)c2ccccc2C1=O,2.01,172.18
O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,4.93,449.92
Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O,3.66,376.36
CCCCCCCCCCCCCCCC[N+](C)(C)CC,6.56,298.58
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,6.07,412.64
Cc1cc(OCCOCC[N+](C)(C)Cc2ccccc2)ccc1C(C)(C)CC(C)(C)C,6.38,426.67
Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,6.52,397.76
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OC(C)(C)C,3.23,447.49
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,5.89,370.59
CCCCCCCCCCOCC(O)CN,2.46,231.38
Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,5.86,387.72
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,5.1,343.9
OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.6,434.53
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,4.63,440.95
NC(=O)n1c(O)c(C(=O)c2cccs2)c2cc(Cl)ccc21,3.22,320.76
